# bestlooking.skin — planned topics, 15 per topic hub (225 total).
#
# Format (one per line; lines starting with # are ignored):
#   category | title | slug | postType
#
#   category  Strapi bls-category slug of a topic hub:
#             By Product:    sunscreen, face-masks, exfoliants, eye-cream,
#                            cleansers, moisturizers, serums
#             By Concern:    sensitive-skin, hyperpigmentation, anti-aging, acne
#             Cross-cutting: korean-skincare, dupes, ingredients, routines
#             (Not the retired format categories or the *-hubs group rows.)
#   postType  informative | how-to-guide | product-review | product-comparison |
#             product-roundup | top-rated | pillar
#
# Run:
#   node generate-bestlooking-post.js --topics topic_bestlooking_skin.txt
#   node generate-bestlooking-post.js --topics topic_bestlooking_skin.txt --count 5
#   node generate-bestlooking-post.js --topics topic_bestlooking_skin.txt \
#     --publishedAt "2026-10-01 08:00" --publish-every 24        # one a day
#
# Titles already in Strapi are skipped, so the file can be re-run safely.
# Written 24 Sep 2026 against the 201 existing bls-posts, avoiding repeats.
# No years in titles or slugs. Site rules apply: no medical claims or promised
# results, brand claims attributed, no invented facts.
#
# SEO pass (24 Sep 2026):
#   - Titles held to ~60 characters so they don't truncate in Google results.
#   - Primary keyword moved to the front; phrasing matched to how people search.
#   - "Best …" wording on every top-rated post so title matches intent.
#   - Topics that duplicated live posts (sitemap check) or each other were swapped.
#   - US spelling throughout, to match the site ("moisturizer", "sensitized").
#
# Order shuffled 24 Sep 2026: interleaved by hub, so every run of 15
# consecutive topics covers all 15 hubs.

# hyperpigmentation | How to Build a Skincare Routine for Hyperpigmentation | hyperpigmentation-skincare-routine | how-to-guide
ingredients | Polyglutamic Acid vs Hyaluronic Acid: What's the Difference? | polyglutamic-vs-hyaluronic-acid | product-comparison
korean-skincare | Best Korean Low-pH Cleansers | best-korean-low-ph-cleansers | top-rated
moisturizers | Best Moisturizers for Mature Skin | best-moisturizers-mature-skin | top-rated
routines | Post-Workout Skincare Routine: What to Do After the Gym | post-workout-skincare-routine | how-to-guide
eye-cream | Eye Cream vs Eye Serum vs Eye Gel: What's the Difference? | eye-cream-vs-serum-vs-gel | product-comparison
sunscreen | Does Sunscreen Expire? Shelf Life and When to Replace It | does-sunscreen-expire | informative
exfoliants | Best Exfoliating Toners for Beginners | best-exfoliating-toners-beginners | top-rated
cleansers | Should You Wash Your Face in the Morning? Cleanser vs Water | should-you-wash-face-in-morning | informative
anti-aging | Face Yoga and Facial Massage: What the Evidence Says | face-yoga-facial-massage-evidence | informative
face-masks | Do You Rinse After a Sheet Mask? What to Do Next | rinse-after-sheet-mask | how-to-guide
sensitive-skin | Why Does My Skin Sting When I Apply Moisturizer? | skin-stings-when-applying-moisturizer | informative
dupes | Best EltaMD UV Clear Sunscreen Dupes | eltamd-uv-clear-dupes | product-comparison
serums | Best Serums for Oily Skin | best-serums-oily-skin | top-rated
acne | Best Pimple Patches for Different Types of Breakouts | best-pimple-patches | top-rated
moisturizers | Ceramide vs Hyaluronic Acid Moisturizer: Which Do You Need? | ceramide-vs-hyaluronic-acid-moisturizer | product-comparison
korean-skincare | Heartleaf in Korean Skincare: What It Does | heartleaf-houttuynia-skincare | informative
acne | Adult Acne: Why You Still Break Out in Your 30s and 40s | adult-acne-causes | informative
exfoliants | Dermaplaning vs Chemical Exfoliation: Which Is Right for You? | dermaplaning-vs-chemical-exfoliation | product-comparison
anti-aging | Gua Sha vs Jade Roller: Which Facial Tool to Choose | gua-sha-vs-jade-roller | product-comparison
hyperpigmentation | Azelaic Acid vs Tranexamic Acid for Dark Spots | azelaic-vs-tranexamic-acid | product-comparison
face-masks | Best Exfoliating Face Masks for Dull Skin | best-exfoliating-face-masks-dull-skin | top-rated
ingredients | Alcohol in Skincare: Fatty Alcohols vs Drying Alcohols | alcohol-in-skincare | informative
eye-cream | Are Under-Eye Patches Worth It? What They Can Do | are-under-eye-patches-worth-it | informative
sensitive-skin | Why Is My Face Red After Skincare? Common Causes | face-red-after-skincare | informative
dupes | Best Estée Lauder Advanced Night Repair Dupes | estee-lauder-advanced-night-repair-dupes | product-comparison
routines | Dehydrated vs Dry Skin: How to Tell and Adjust Your Routine | dehydrated-vs-dry-skin | informative
sunscreen | How to Reapply Sunscreen Over Makeup During the Day | reapply-sunscreen-over-makeup | how-to-guide
serums | Best Fragrance-Free Hydrating Serums | best-fragrance-free-hydrating-serums | top-rated
cleansers | Micellar Water: Do You Need to Rinse It Off? | micellar-water-rinse-off | informative
routines | Night Shift Skincare Routine: Adapting to Irregular Sleep | night-shift-skincare-routine | how-to-guide
acne | Best Acne Products for Sensitive Skin | best-acne-products-sensitive-skin | top-rated
ingredients | Salicylic Acid: Benefits, Strengths and Side Effects | salicylic-acid-explained | informative
anti-aging | Collagen Creams vs Supplements: What the Research Says | collagen-creams-vs-supplements | product-comparison
hyperpigmentation | Kojic Acid for Dark Spots: How It Works and How to Use It | kojic-acid-dark-spots | how-to-guide
eye-cream | Best Eye Creams for Dark Circles | best-eye-creams-dark-circles | top-rated
sunscreen | Water-Resistant Sunscreen Explained: How Long Does It Last? | water-resistant-sunscreen-explained | informative
cleansers | Best Cleansers for Combination Skin | best-cleansers-combination-skin | top-rated
sensitive-skin | How to Introduce New Skincare Products With Sensitive Skin | introduce-new-products-sensitive-skin | how-to-guide
exfoliants | How to Use a Chemical Exfoliant for the First Time | how-to-use-chemical-exfoliant | how-to-guide
dupes | Best Charlotte Tilbury Magic Cream Dupes | charlotte-tilbury-magic-cream-dupes | product-comparison
face-masks | Multi-Masking: How to Use Different Face Masks by Zone | how-to-multi-mask | how-to-guide
korean-skincare | Korean Cleansing Oil vs Cleansing Balm: Which Is Better? | korean-cleansing-oil-vs-balm | product-comparison
moisturizers | How to Apply Moisturizer: Damp Skin, Amount and Timing | how-to-apply-moisturizer | how-to-guide
serums | Ferulic Acid Serum: Why It's Paired With Vitamin C | ferulic-acid-serum | informative
eye-cream | Eye Cream Before or After Moisturizer? The Right Order | eye-cream-before-or-after-moisturizer | how-to-guide
face-masks | When to Use a Face Mask in Your Skincare Routine | when-to-use-face-mask-routine | how-to-guide
moisturizers | Best Moisturizers for Dry Skin | best-moisturizers-dry-skin | top-rated
ingredients | Beta-Glucan for Skin: Benefits for Hydration | beta-glucan-for-skin | informative
sunscreen | Best Non-Comedogenic Sunscreens for Acne-Prone Skin | best-sunscreens-acne-prone-skin | top-rated
serums | Peptide Serums Explained: What They Do and Who They Suit | peptide-serums-explained | informative
dupes | Best Summer Fridays Lip Butter Balm Dupes | summer-fridays-lip-butter-balm-dupes | product-comparison
routines | Skincare Routine for Humid Climates | skincare-routine-humid-climate | how-to-guide
acne | Blackheads vs Sebaceous Filaments: How to Tell Them Apart | blackheads-vs-sebaceous-filaments | informative
korean-skincare | The 10-Step Korean Routine: Do You Need Every Step? | korean-10-step-routine | informative
cleansers | Best Cleansing Balms for Removing Makeup | best-cleansing-balms | top-rated
sensitive-skin | Cica for Sensitive Skin: What Centella Asiatica Does | cica-centella-asiatica-sensitive-skin | informative
