# One "category | topic [| destination(s)]" per line. Lines starting with # are ignored.
# Save this as topics.txt and run:  node generate.js --topics topics.txt
#
# Format:
#   category | topic                      ← 2 fields, destinations auto-detected from title
#   category | topic | destination        ← 3 fields, destination explicit (highest priority)
#   category | topic | dest1, dest2       ← multiple destinations, comma-separated
#
# Destinations should match the `name` of an existing Destination in Strapi
# (case-insensitive). Slugs also work. Auto-detect runs first; explicit
# destinations override.
#
# The CLI will look up each category in Strapi (by slug or name), auto-create
# it if it doesn't exist, attach the article to it, and skip topics whose
# title (or derived slug) already exists in Strapi.

Smart Home Automation | Smart Home Automation: How Scenes, Routines and Sensors Actually Work
Smart Home Automation | Kitchen Automation: Which Smart Devices Actually Earn Their Place
Smart Home Automation | Bedroom Automation: Sleep, Wake and Light Scheduling
Smart Home Automation | Nursery Automation: What's Genuinely Useful and What's Just Noise
Smart Home Automation | Garage and Entryway Automation: Arrival and Departure Routines
Smart Home Automation | Home Office Automation: Lighting, Air and Do-Not-Disturb
Smart Home Automation | Presence Detection That Actually Works - and Why Geofencing Doesn't
Smart Home Automation | Designing Automations That Fail Safe When Something Breaks
Smart Home Automation | Smart Home Automation for Households With Young Children
Smart Home Automation | Automating a Rented Apartment Without Drilling a Single Hole
Smart Home Security | Smart Home Security: Cameras, Locks, Sensors and Privacy Explained
Smart Home Security | Smart Home Security Without a Monthly Subscription: What You Give Up
Smart Home Security | Are Smart Locks Actually Safe? Failure Modes, Power Cuts and Lockouts
Smart Home Security | What Happens to Your Security System When the Manufacturer Shuts Down
Smart Home Security | Smart Camera Privacy: Where Your Footage Goes and How to Limit It
Smart Home Security | Securing Your Smart Home Network Without a Networking Degree
Smart Home Security | Renter-Friendly Home Security That Needs No Drilling
Smart Home Security | Event Recording vs 24/7: Does Your Camera Need to Record Continuously?
Smart Home Security | Smart Locks Without Wi-Fi: Bluetooth, Keypad and Offline Options
Smart Home Security | Account Security for Smart Homes: Why 2FA Matters More Than the Lock
Smart Home Devices | Smart Home Devices: What Each Type Does and What to Check Before Buying
Smart Home Devices | The First Five Smart Home Devices Worth Buying - and the Order to Buy Them
