# One "category | topic [| destination(s)]" per line. Lines starting with # are ignored.
# Save this as topics.txt and run:  node generate.js --topics topics.txt
#
# Format:
#   category | topic                      ← 2 fields, destinations auto-detected from title
#   category | topic | destination        ← 3 fields, destination explicit (highest priority)
#   category | topic | dest1, dest2       ← multiple destinations, comma-separated
#
# Destinations should match the `name` of an existing Destination in Strapi
# (case-insensitive). Slugs also work. Auto-detect runs first; explicit
# destinations override.
#
# The CLI will look up each category in Strapi (by slug or name), auto-create
# it if it doesn't exist, attach the article to it, and skip topics whose
# title (or derived slug) already exists in Strapi.
 

# Sources: sources.xlsx (455 lines) and final.xlsx (800 lines, 2026-09-10). Order shuffled 2026-09-10 so batches mix cities and categories.

# done 2026-09-10 (draft) · Travel Tips | Basilica Cistern After the Restoration | Turkey, Istanbul
# done 2026-09-10 (draft) · Travel Tips | Yui Rail Monorail: Naha Without a Car | Japan, Okinawa
# done 2026-09-10 (draft) · Flights | Perth to Kuressaare Flights: Connections via Tallinn | Estonia, Kuressaare
# done 2026-09-10 (draft) · Travel Tips | Best Time to Visit Krabi | Thailand, Krabi
Hotels | Where to Stay in Ho Chi Minh City: Best Districts | Vietnam, Ho Chi Minh City
Flights | Perth to Rhodes Flights: Best Routes and Stopovers | Greece, Rhodes Town
Destinations | Guangzhou or Shenzhen: The Pearl River Delta Compared | China, Guangzhou, Shenzhen
Destinations | Best Time to Visit Brisbane: Month by Month Guide | Australia, Brisbane
Travel Tips | Gero Onsen and the Kiso Valley: Nagoya's Onsen Options | Japan, Nagoya
Car Rentals | Litchfield National Park Day Trip From Darwin | Australia, Darwin
Flights | Perth to Interlaken: Flights, Airports and Rail Options | Switzerland, Interlaken
Travel Tips | Gothenburg Airport to the City Centre: Transport Guide | Sweden, Gothenburg
Travel Tips | How Many Days Do You Need in Singapore? | Singapore
Travel Tips | Heraklion or Chania: Which Crete City Is Better? | Greece, Heraklion, Chania
Destinations | Nagasaki Day Trip From Fukuoka by Shinkansen | Japan, Fukuoka
Destinations | Leshan Giant Buddha Day Trip From Chengdu | China, Chengdu
Travel Tips | K-ETA and Korea Entry Requirements: Where to Check | South Korea
Hotels | Where to Stay in Niseko and Furano for a Ski Trip | Japan, Sapporo
Travel Tips | Best Time to Visit Kiruna for Snow and Northern Lights | Sweden, Kiruna
Flights | Perth to Chennai Flights: Airlines and Connections | India, Chennai
